"ds","Actual","Fitted","Error","AbsError","SqError","PctError","AbsPctError"
2011-11-01,104.1,104.297534646174,-0.197534646173949,0.197534646173949,0.0390199364390673,-0.189754703337127,0.189754703337127
2011-12-01,104.2,104.547861454944,-0.347861454943498,0.347861454943498,0.121007591835407,-0.333840167892033,0.333840167892033
2012-01-01,104.5,104.566074159537,-0.0660741595370951,0.0660741595370951,0.00436579455853349,-0.0632288608010479,0.0632288608010479
2012-02-01,104.5,104.616916167415,-0.116916167414843,0.116916167414843,0.0136693902029755,-0.11188149991851,0.11188149991851
2012-03-01,104.5,104.890378023082,-0.390378023081809,0.390378023081809,0.152395000905261,-0.373567486202688,0.373567486202688
2012-04-01,104.5,104.349380940663,0.150619059336705,0.150619059336705,0.0226861010354739,0.144133071135603,0.144133071135603
2012-05-01,104.7,104.503610606221,0.196389393778745,0.196389393778745,0.0385687939887828,0.187573442004532,0.187573442004532
2012-06-01,104.8,104.713983616758,0.0860163832417697,0.0860163832417697,0.00739881818599501,0.0820767015665742,0.0820767015665742
2012-07-01,104.8,104.809026577263,-0.00902657726319944,0.00902657726319944,8.14790970885091e-05,-0.00861314624351092,0.00861314624351092
2012-08-01,105,105.055230846066,-0.0552308460658111,0.0552308460658111,0.00305044635714532,-0.0526008057769629,0.0526008057769629
2012-09-01,105.2,105.168410252386,0.0315897476137081,0.0315897476137081,0.000997912154297779,0.0300282771993423,0.0300282771993423
2012-10-01,105.4,105.282951196666,0.117048803333816,0.117048803333816,0.0137004223618783,0.11105199557288,0.11105199557288
2012-11-01,105.5,105.446148498719,0.0538515012809313,0.0538515012809313,0.00289998419021015,0.0510440770435368,0.0510440770435368
2012-12-01,105.5,105.535962283816,-0.0359622838159339,0.0359622838159339,0.00129328585725778,-0.0340874728113118,0.0340874728113118
2013-01-01,105.9,106.082018581119,-0.182018581118868,0.182018581118868,0.0331307638725259,-0.171877791424804,0.171877791424804
2013-02-01,106.1,106.499677396934,-0.399677396933598,0.399677396933598,0.159742021619617,-0.376698771850705,0.376698771850705
2013-03-01,106.2,106.495170443061,-0.295170443061366,0.295170443061366,0.0871255904570431,-0.277938270302604,0.277938270302604
2013-04-01,106.3,106.333442643485,-0.0334426434851736,0.0334426434851736,0.00111841040327642,-0.0314606241629102,0.0314606241629102
2013-05-01,106.6,106.601888238511,-0.00188823851058828,0.00188823851058828,3.56544467286865e-06,-0.00177133068535486,0.00177133068535486
2013-06-01,106.7,106.84063138819,-0.140631388190457,0.140631388190457,0.0197771873443749,-0.13180073869771,0.13180073869771
2013-07-01,106.9,107.116339505517,-0.216339505516643,0.216339505516643,0.0468027816471857,-0.202375589819124,0.202375589819124
2013-08-01,107,107.492931072635,-0.49293107263496,0.49293107263496,0.242981042369052,-0.460683245453233,0.460683245453233
2013-09-01,107.9,107.763962537494,0.136037462505953,0.136037462505953,0.0185061912050587,0.126077351720068,0.126077351720068
